170A PUNGGOL FIELD,"1.3935592,103.9148295"
170B PUNGGOL FIELD,"1.3933510,103.9146950"
170C PUNGGOL FIELD,"1.3930943,103.9145290"
170D PUNGGOL EAST,"1.3944570,103.9146130"
171 EDGEDALE PLAINS,"1.3948950,103.9125810"
171A EDGEDALE PLAINS,"1.3945818,103.9123599"
171B EDGEDALE PLAINS,"1.3950550,103.9129120"
171C EDGEDALE PLAINS,"1.3947619,103.9131424"
172 EDGEDALE PLAINS,"1.3955590,103.9118079"
172A EDGEDALE PLAINS,"1.3953196,103.9115443"
172B EDGEDALE PLAINS,"1.3958304,103.9119068"
172C EDGEDALE PLAINS,"1.3954612,103.9123599"
172D EDGEDALE PLAINS,"1.3951080,103.9118840"
173 PUNGGOL FIELD,"1.3972514,103.9093032"
173A PUNGGOL FIELD,"1.3971649,103.9093692"
173B PUNGGOL FIELD,"1.3964880,103.9099050"
173C PUNGGOL FIELD,"1.3962603,103.9106273"
173D PUNGGOL FIELD,"1.3958500,103.9108490"
174 PUNGGOL FIELD,"1.3966130,103.9097750"
174A EDGEDALE PLAINS,"1.3961700,103.9112169"
174B EDGEDALE PLAINS,"1.3965870,103.9109000"
174C EDGEDALE PLAINS,"1.3970576,103.9101631"
174D EDGEDALE PLAINS,"1.3972290,103.9099240"
175 PUNGGOL FIELD,"1.3979027,103.9082484"
175A PUNGGOL FIELD,"1.3973760,103.9089200"
175B PUNGGOL FIELD,"1.3977070,103.9085130"
175C PUNGGOL FIELD,"1.3980701,103.9080165"
175D PUNGGOL FIELD,"1.3982741,103.9077744"
176 EDGEFIELD PLAINS,"1.3980330,103.9091190"
176A EDGEFIELD PLAINS,"1.3990094,103.9083036"
176B EDGEFIELD PLAINS,"1.3984660,103.9085850"
176C EDGEFIELD PLAINS,"1.3986352,103.9086442"
176D EDGEFIELD PLAINS,"1.3977380,103.9094980"
178 EDGEFIELD PLAINS,"1.3993866,103.9087588"
179 EDGEFIELD PLAINS,"1.3990630,103.9086520"
180 EDGEFIELD PLAINS,"1.3986070,103.9093480"
181 EDGEFIELD PLAINS,"1.3992692,103.9091581"
182 EDGEFIELD PLAINS,"1.3990145,103.9094843"
183 EDGEFIELD PLAINS,"1.3987192,103.9097935"
184 EDGEFIELD PLAINS,"1.3981070,103.9097550"
185 EDGEFIELD PLAINS,"1.3977880,103.9100179"
186 PUNGGOL CTRL,"1.3985436,103.9110746"
187 PUNGGOL CTRL,"1.3987060,103.9107790"
188 PUNGGOL CTRL,"1.3993950,103.9106060"
189 PUNGGOL CTRL,"1.3993510,103.9104230"
190 PUNGGOL CTRL,"1.3997238,103.9103904"
191 PUNGGOL CTRL,"1.3999359,103.9100635"
192 PUNGGOL CTRL,"1.3998519,103.9094497"
193 EDGEFIELD PLAINS,"1.3998460,103.9088590"
194 PUNGGOL RD,"1.4020116,103.9065184"
195 PUNGGOL RD,"1.4014210,103.9066403"
195A PUNGGOL RD,"1.4015688,103.9062046"
195B PUNGGOL RD,"1.4012460,103.9064110"
195C PUNGGOL RD,"1.4015960,103.9065079"
195D PUNGGOL RD,"1.4015230,103.9069770"
195E PUNGGOL RD,"1.4017940,103.9071650"
196 PUNGGOL FIELD,"1.3993950,103.9070310"
196A PUNGGOL FIELD,"1.3993594,103.9067857"
196B PUNGGOL FIELD,"1.3989600,103.9069470"
196C PUNGGOL FIELD,"1.3992990,103.9075189"
196D PUNGGOL FIELD,"1.3996170,103.9072410"
197 PUNGGOL FIELD,"1.3994813,103.9064151"
197A PUNGGOL FIELD,"1.3999996,103.9069255"
197B PUNGGOL FIELD,"1.4000660,103.9065310"
198 PUNGGOL FIELD,"1.3994600,103.9063400"
199 PUNGGOL FIELD,"1.4000839,103.9057295"
199A PUNGGOL FIELD,"1.3997260,103.9059769"
199B PUNGGOL FIELD,"1.3999660,103.9056800"
199C PUNGGOL FIELD,"1.4005749,103.9058780"
199D PUNGGOL FIELD,"1.4004380,103.9061980"
200 PUNGGOL FIELD,"1.3992250,103.9029539"
201 PUNGGOL FIELD,"1.3999094,103.9035308"
201A PUNGGOL FIELD,"1.4003910,103.9035720"
201B PUNGGOL FIELD,"1.4001321,103.9039003"
201C PUNGGOL FIELD,"1.3993270,103.9037340"
201D PUNGGOL FIELD,"1.3995476,103.9032068"
202A PUNGGOL FIELD,"1.3998347,103.9045015"
202B PUNGGOL FIELD,"1.3990830,103.9041940"
203 PUNGGOL FIELD,"1.3990080,103.9038750"
203A PUNGGOL FIELD,"1.3985422,103.9038958"
203B PUNGGOL FIELD,"1.3979860,103.9036260"
204 PUNGGOL FIELD,"1.3984930,103.9030690"
204A PUNGGOL FIELD,"1.3987876,103.9031057"
204B PUNGGOL FIELD,"1.3986080,103.9033420"
204C PUNGGOL FIELD,"1.3980270,103.9030970"
204D PUNGGOL FIELD,"1.3982360,103.9026839"
205A PUNGGOL FIELD,"1.3986659,103.9021628"
206A PUNGGOL PL,"1.3992097,103.9015076"
207 PUNGGOL PL,"1.4004728,103.9016623"
207A PUNGGOL PL,"1.4004417,103.9011075"
207B PUNGGOL PL,"1.4003633,103.9003859"
207C PUNGGOL PL,"1.4003126,103.9003321"
207D PUNGGOL PL,"1.4008599,103.9005695"
208 PUNGGOL PL,"1.4008598,103.9011898"
208A PUNGGOL PL,"1.4008219,103.9012184"
208B PUNGGOL PL,"1.4014398,103.9012024"
208C PUNGGOL PL,"1.4008422,103.9012778"
209 PUNGGOL PL,"1.3998592,103.9010255"
209A PUNGGOL PL,"1.3995526,103.9010078"
209B PUNGGOL PL,"1.3998732,103.9008468"
209C PUNGGOL PL,"1.3992451,103.9009237"
210 PUNGGOL PL,"1.3996690,103.9014520"
210A PUNGGOL PL,"1.3999119,103.9001446"
210B PUNGGOL PL,"1.4002764,103.9000788"
210C PUNGGOL PL,"1.3996694,103.9014518"
211 PUNGGOL WALK,"1.4014765,103.8994007"
211A PUNGGOL WALK,"1.4016678,103.8999332"
211B PUNGGOL WALK,"1.4010349,103.8997336"
211C PUNGGOL WALK,"1.4010567,103.8990001"
211D PUNGGOL WALK,"1.4009644,103.8992195"
212 PUNGGOL WALK,"1.3997175,103.8991918"
212A PUNGGOL WALK,"1.3997175,103.8991918"
212B PUNGGOL WALK,"1.4004965,103.8992422"
213 PUNGGOL WALK,"1.4000982,103.8982774"
213A PUNGGOL WALK,"1.4008550,103.8982820"
213B PUNGGOL WALK,"1.4006955,103.8982453"
213C PUNGGOL WALK,"1.4007705,103.8985119"
217 SUMANG WALK,"1.4023927,103.8958187"
217A SUMANG WALK,"1.4029563,103.8950854"
217B SUMANG WALK,"1.4023824,103.8950510"
217C SUMANG WALK,"1.4022808,103.8955700"
217D SUMANG WALK,"1.4022260,103.8959881"
218 SUMANG WALK,"1.4032230,103.8954588"
219 SUMANG WALK,"1.4037232,103.8948569"
220 SUMANG LANE,"1.4021428,103.8945852"
220A SUMANG LANE,"1.4019567,103.8947345"
220B SUMANG LANE,"1.4015662,103.8951897"
220C SUMANG LANE,"1.4016023,103.8958651"
221A SUMANG LANE,"1.4009942,103.8953568"
221B SUMANG LANE,"1.4010713,103.8950072"
222 SUMANG LANE,"1.4011828,103.8943718"
222A SUMANG LANE,"1.4016752,103.8938880"
223A SUMANG LANE,"1.4012971,103.8926950"
224 SUMANG LANE,"1.4014600,103.8936344"
224A SUMANG LANE,"1.4020252,103.8927311"
224B SUMANG LANE,"1.4027108,103.8919719"
224C SUMANG LANE,"1.4014600,103.8936344"
226 SUMANG LANE,"1.4029847,103.8936033"
226A SUMANG LANE,"1.4028035,103.8929968"
226B SUMANG LANE,"1.4026592,103.8934565"
226C SUMANG LANE,"1.4025954,103.8940308"
226D SUMANG LANE,"1.4029847,103.8936033"
227A SUMANG LANE,"1.4027298,103.8927348"
227B SUMANG LANE,"1.4026434,103.8929689"
231 SUMANG LANE,"1.4019589,103.8921939"
231A SUMANG LANE,"1.4021288,103.8918026"
231B SUMANG LANE,"1.4023374,103.8916497"
232 SUMANG LANE,"1.4026600,103.8903550"
232A SUMANG LANE,"1.4023353,103.8909577"
232B SUMANG LANE,"1.4024338,103.8908260"
232C SUMANG LANE,"1.4020461,103.8900672"
233 SUMANG LANE,"1.4012994,103.8912953"
233A SUMANG LANE,"1.4029437,103.8905978"
233B SUMANG LANE,"1.4012994,103.8912953"
233C SUMANG LANE,"1.4016116,103.8910172"
234 SUMANG LANE,"1.4016562,103.8915824"
234A SUMANG LANE,"1.4016562,103.8915824"
234B SUMANG LANE,"1.4014656,103.8914314"
256 SUMANG WALK,"1.4055689,103.8954588"
256A SUMANG WALK,"1.4060265,103.8954798"
256B SUMANG WALK,"1.4055689,103.8954588"
256C SUMANG WALK,"1.4054485,103.8959456"
256D SUMANG WALK,"1.4049485,103.8957983"
256D SUMANG WALK,"1.4049485,103.8957983"
257 SUMANG WALK,"1.4052561,103.8956627"
258 PUNGGOL FIELD,"1.4037558,103.8962289"
258A PUNGGOL FIELD,"1.4038646,103.8959377"
258B PUNGGOL FIELD,"1.4037470,103.8965140"
258B PUNGGOL FIELD,"1.4037470,103.8965140"
258C PUNGGOL FIELD,"1.4041341,103.8963197"
259 PUNGGOL FIELD,"1.4043970,103.8952776"
259A PUNGGOL FIELD,"1.4039186,103.8955947"
259B PUNGGOL FIELD,"1.4038980,103.8954346"
259C PUNGGOL FIELD,"1.4045115,103.8957812"
260A PUNGGOL WAY,"1.4049230,103.8968404"
260B PUNGGOL WAY,"1.4048834,103.8963280"
260B PUNGGOL WAY,"1.4048834,103.8963280"
260C PUNGGOL WAY,"1.4048314,103.8967361"
260C PUNGGOL WAY,"1.4048314,103.8967361"
261 PUNGGOL WAY,"1.4054135,103.8969087"
261A PUNGGOL WAY,"1.4060083,103.8968916"
261B PUNGGOL WAY,"1.4060209,103.8964783"
261C PUNGGOL WAY,"1.4056580,103.8963891"
264 PUNGGOL WAY,"1.4061379,103.8990369"
264A PUNGGOL WAY,"1.4059531,103.8985851"
265A PUNGGOL WAY,"1.4057121,103.8988213"
265B PUNGGOL WAY,"1.4059381,103.8990348"
265C PUNGGOL WAY,"1.4049515,103.8985919"
265D PUNGGOL WAY,"1.4059381,103.8990348"
266 PUNGGOL WAY,"1.4054325,103.8981497"
266A PUNGGOL WAY,"1.4059388,103.8979281"
266B PUNGGOL WAY,"1.4056097,103.8977922"
266C PUNGGOL WAY,"1.4050971,103.8977016"
266D PUNGGOL WAY,"1.4054325,103.8981497"
267 PUNGGOL FIELD,"1.4039722,103.8979443"
267A PUNGGOL FIELD,"1.4044907,103.8975456"
267B PUNGGOL FIELD,"1.4044370,103.8980430"
267C PUNGGOL FIELD,"1.4042700,103.8983860"
268 PUNGGOL FIELD,"1.4035560,103.8971340"
268A PUNGGOL FIELD,"1.4040868,103.8973870"
268B PUNGGOL FIELD,"1.4036430,103.8973890"
268B PUNGGOL FIELD,"1.4036430,103.8973890"
268C PUNGGOL FIELD,"1.4034570,103.8978460"
268D PUNGGOL FIELD,"1.4034272,103.8982373"
269 PUNGGOL FIELD,"1.4030812,103.8992561"
269A PUNGGOL FIELD,"1.4030581,103.8991325"
269B PUNGGOL FIELD,"1.4030840,103.8986369"
269C PUNGGOL FIELD,"1.4030840,103.8986369"
270 PUNGGOL FIELD,"1.4036359,103.8992304"
270A PUNGGOL FIELD,"1.4039414,103.8995928"
270B PUNGGOL FIELD,"1.4040830,103.8991420"
270C PUNGGOL FIELD,"1.4041770,103.8987480"
271 PUNGGOL WALK,"1.4034079,103.9006162"
271A PUNGGOL WALK,"1.4036690,103.9004881"
271A PUNGGOL WALK,"1.4036690,103.9004881"
271B PUNGGOL WALK,"1.4041550,103.9005930"
271C PUNGGOL WALK,"1.4038450,103.9010320"
271D PUNGGOL WALK,"1.4034933,103.9008293"
272 PUNGGOL WALK,"1.4028670,103.9007860"
272A PUNGGOL WALK,"1.4029999,103.9006738"
272B PUNGGOL WALK,"1.4032870,103.9002500"
272C PUNGGOL WALK,"1.4028810,103.9000940"
272D PUNGGOL WALK,"1.4027559,103.9004880"
273 PUNGGOL PL,"1.4027200,103.9018690"
273A PUNGGOL PL,"1.4022590,103.9021710"
273B PUNGGOL PL,"1.4020100,103.9017910"
273C PUNGGOL PL,"1.4022707,103.9013943"
273D PUNGGOL PL,"1.4026230,103.9014030"
274 PUNGGOL PL,"1.4030540,103.9024720"
274A PUNGGOL PL,"1.4030540,103.9024720"
274B PUNGGOL PL,"1.4032177,103.9023912"
274C PUNGGOL PL,"1.4033751,103.9021254"
274D PUNGGOL PL,"1.4030490,103.9016850"
288 PUNGGOL PL,"1.4017930,103.9032830"
288A PUNGGOL PL,"1.4023490,103.9031316"
288B PUNGGOL PL,"1.4025270,103.9028900"
288C PUNGGOL PL,"1.4026213,103.9037474"
289 PUNGGOL PL,"1.4025270,103.9028900"
289A PUNGGOL PL,"1.4025270,103.9028900"
289B PUNGGOL PL,"1.4011960,103.9032360"
289C PUNGGOL PL,"1.4013862,103.9036291"
289D PUNGGOL PL,"1.4019940,103.9036940"
292 PUNGGOL CTRL,"1.4024500,103.9050530"
293 PUNGGOL CTRL,"1.4030910,103.9049670"
294 PUNGGOL CTRL,"1.4025640,103.9046500"
295 PUNGGOL CTRL,"1.4020650,103.9044430"
295A PUNGGOL CTRL,"1.4019158,103.9044552"
296 PUNGGOL CTRL,"1.4015930,103.9052630"
297 PUNGGOL CTRL,"1.4022150,103.9054660"
298 PUNGGOL CTRL,"1.4025751,103.9056083"
299 PUNGGOL CTRL,"1.4027200,103.9053000"
301 PUNGGOL CTRL,"1.4037376,103.9062343"
301A PUNGGOL CTRL,"1.4040251,103.9062851"
301B PUNGGOL CTRL,"1.4043763,103.9058657"
301C PUNGGOL CTRL,"1.4044936,103.9056437"
301D PUNGGOL PL,"1.4045653,103.9053542"
302 PUNGGOL PL,"1.4048490,103.9045671"
302A PUNGGOL PL,"1.4045020,103.9046289"
302B PUNGGOL PL,"1.4042968,103.9048039"
302C PUNGGOL PL,"1.4049174,103.9050003"
302D PUNGGOL PL,"1.4037736,103.9061944"
303 PUNGGOL CTRL,"1.4037736,103.9061944"
303A PUNGGOL CTRL,"1.4041246,103.9052602"
303A PUNGGOL CTRL,"1.4041246,103.9052602"
303B PUNGGOL CTRL,"1.4037736,103.9061944"
303C PUNGGOL CTRL,"1.4037736,103.9061944"
303D PUNGGOL PL,"1.4040257,103.9051804"
305 PUNGGOL RD,"1.4057529,103.9072490"
305A PUNGGOL RD,"1.4051188,103.9068372"
305A PUNGGOL RD,"1.4051188,103.9068372"
305B PUNGGOL RD,"1.4052440,103.9063480"
305C PUNGGOL RD,"1.4054352,103.9069338"
305D PUNGGOL DR,"1.4057338,103.9070653"
306A PUNGGOL PL,"1.4059487,103.9055193"
306B PUNGGOL PL,"1.4057750,103.9059350"
306C PUNGGOL PL,"1.4064212,103.9060161"
306D PUNGGOL DR,"1.4059275,103.9064830"
308 PUNGGOL WALK,"1.4078312,103.9006371"
308A PUNGGOL WALK,"1.4076123,103.9005963"
308B PUNGGOL WALK,"1.4076815,103.8998529"
308C PUNGGOL WALK,"1.4077277,103.8997423"
310 PUNGGOL WALK,"1.4087675,103.9017735"
310A PUNGGOL WALK,"1.4089416,103.9014544"
310B PUNGGOL WALK,"1.4093609,103.9007848"
310C PUNGGOL WALK,"1.4096442,103.8999014"
312 SUMANG LINK,"1.4106511,103.9006062"
312A SUMANG LINK,"1.4108133,103.9004565"
312B SUMANG LINK,"1.4112330,103.9006538"
312C SUMANG LINK,"1.4106511,103.9006062"
313 SUMANG LINK,"1.4103520,103.9004640"
313A SUMANG LINK,"1.4098645,103.9021733"
313B SUMANG LINK,"1.4102516,103.9021934"
313C SUMANG LINK,"1.4106696,103.9017619"
314 PUNGGOL WAY,"1.4082407,103.8978610"
314A PUNGGOL WAY,"1.4082747,103.8978930"
314B PUNGGOL WAY,"1.4083828,103.8980528"
315 PUNGGOL WAY,"1.4084390,103.8966618"
315A PUNGGOL WAY,"1.4084390,103.8966618"
315B PUNGGOL WAY,"1.4079750,103.8966843"
316 PUNGGOL WAY,"1.4081041,103.8969811"
316A PUNGGOL WAY,"1.4088874,103.8983133"
316B PUNGGOL WAY,"1.4090175,103.8980188"
316C PUNGGOL WAY,"1.4089321,103.8971651"
316D PUNGGOL WAY,"1.4081041,103.8969811"
321 SUMANG WALK,"1.4054331,103.8951291"
322 SUMANG WALK,"1.4109454,103.8973937"
322A SUMANG WALK,"1.4114907,103.8970913"
322B SUMANG WALK,"1.4110124,103.8968806"
322C SUMANG WALK,"1.4104359,103.8968634"
322D SUMANG WALK,"1.4100354,103.8966610"
323A SUMANG WALK,"1.4125315,103.8980900"
323B SUMANG WALK,"1.4119683,103.8978760"
323C SUMANG WALK,"1.4127969,103.8975733"
323D SUMANG WALK,"1.4123736,103.8973956"
324 SUMANG WALK,"1.4132336,103.8985024"
325 SUMANG WALK,"1.4134689,103.8986117"
325A SUMANG WALK,"1.4136219,103.8981173"
325B SUMANG WALK,"1.4131485,103.8980601"
326 SUMANG WALK,"1.4129819,103.8997965"
326A SUMANG WALK,"1.4128395,103.8994913"
326B SUMANG WALK,"1.4126929,103.8996648"
326C SUMANG WALK,"1.4125563,103.8998864"
327 SUMANG WALK,"1.4125294,103.8989687"
327A SUMANG WALK,"1.4124322,103.8989751"
327B SUMANG WALK,"1.4122146,103.8993304"
327C SUMANG WALK,"1.4121209,103.8999276"
601 PUNGGOL CTRL,"1.4023672,103.9072893"
601A PUNGGOL CTRL,"1.4023264,103.9074565"
601B PUNGGOL CTRL,"1.4021890,103.9078930"
601C PUNGGOL CTRL,"1.4028432,103.9081808"
601D PUNGGOL CTRL,"1.4029840,103.9077670"
602 PUNGGOL CTRL,"1.4032826,103.9072323"
602A PUNGGOL CTRL,"1.4033496,103.9069880"
602B PUNGGOL CTRL,"1.4031486,103.9068990"
602C PUNGGOL CTRL,"1.4024244,103.9073678"
603 PUNGGOL RD,"1.4038792,103.9081458"
603A PUNGGOL RD,"1.4036223,103.9082399"
603B PUNGGOL RD,"1.4031820,103.9082817"
603C PUNGGOL RD,"1.4034250,103.9078780"
604 PUNGGOL RD,"1.4045240,103.9072240"
604A PUNGGOL RD,"1.4045240,103.9072240"
604B PUNGGOL RD,"1.4039120,103.9072300"
604B PUNGGOL RD,"1.4039120,103.9072300"
604C PUNGGOL RD,"1.4036267,103.9074661"
612 PUNGGOL DR,"1.4046089,103.9086895"
612A PUNGGOL DR,"1.4049257,103.9084641"
612B PUNGGOL DR,"1.4049280,103.9081472"
612C PUNGGOL DR,"1.4050206,103.9078549"
612D PUNGGOL DR,"1.4047140,103.9076210"
613 PUNGGOL DR,"1.4041756,103.9083936"
613A PUNGGOL DR,"1.4045769,103.9079192"
613B PUNGGOL DR,"1.4042500,103.9083050"
613C PUNGGOL DR,"1.4040820,103.9085730"
613D PUNGGOL DR,"1.4037390,103.9089310"
614 EDGEFIELD PLAINS,"1.4032990,103.9096740"
614A EDGEFIELD PLAINS,"1.4034157,103.9092812"
614B EDGEFIELD PLAINS,"1.4029139,103.9101698"
615 EDGEFIELD PLAINS,"1.4039041,103.9095251"
615A EDGEFIELD PLAINS,"1.4040941,103.9095474"
615B EDGEFIELD PLAINS,"1.4037550,103.9098740"
615C EDGEFIELD PLAINS,"1.4029660,103.9103720"
616 PUNGGOL DR,"1.4021240,103.9117260"
616A PUNGGOL DR,"1.4023316,103.9124159"
616B PUNGGOL DR,"1.4029210,103.9107949"
617A PUNGGOL DR,"1.4023316,103.9124159"
617B PUNGGOL DR,"1.4023316,103.9124159"
617C PUNGGOL DR,"1.4019839,103.9124505"
617D PUNGGOL DR,"1.4016490,103.9128379"
618A PUNGGOL DR,"1.4015299,103.9119458"
618B PUNGGOL DR,"1.4014540,103.9121060"
618C PUNGGOL DR,"1.4016740,103.9118300"
618D PUNGGOL DR,"1.4018310,103.9114800"
619A PUNGGOL DR,"1.4024529,103.9115057"
619B PUNGGOL DR,"1.4028940,103.9110369"
619C PUNGGOL DR,"1.4023536,103.9106657"
619D PUNGGOL DR,"1.4021400,103.9110950"
621A EDGEFIELD WALK,"1.4010777,103.9098413"
621B EDGEFIELD WALK,"1.4013566,103.9101169"
622 PUNGGOL CTRL,"1.4005748,103.9110802"
622A PUNGGOL CTRL,"1.4000521,103.9118653"
622B PUNGGOL CTRL,"1.4000277,103.9118846"
622C PUNGGOL CTRL,"1.4007295,103.9107966"
622D PUNGGOL CTRL,"1.4005300,103.9104567"
623 PUNGGOL CTRL,"1.3994953,103.9116849"
623A PUNGGOL CTRL,"1.3994791,103.9117097"
623B PUNGGOL CTRL,"1.3994588,103.9117357"
623C PUNGGOL CTRL,"1.3995519,103.9111467"
624 PUNGGOL CTRL,"1.3998655,103.9111869"
624A PUNGGOL CTRL,"1.3998167,103.9112479"
624B PUNGGOL CTRL,"1.4007533,103.9117632"
624C PUNGGOL CTRL,"1.4002651,103.9122688"
632A PUNGGOL DR,"1.4005971,103.9132985"
632B PUNGGOL DR,"1.4008300,103.9131630"
632C PUNGGOL DR,"1.4008985,103.9131529"
633 PUNGGOL DR,"1.4012299,103.9131795"
633A PUNGGOL DR,"1.4014174,103.9136036"
633B PUNGGOL DR,"1.4010750,103.9137040"
635 PUNGGOL DR,"1.4010821,103.9138725"
635A PUNGGOL DR,"1.4010182,103.9135368"
635B PUNGGOL DR,"1.4009170,103.9141240"
635C PUNGGOL DR,"1.4006773,103.9144707"
636A PUNGGOL DR,"1.4002760,103.9139440"
