PTC,Punggol
PE1,Cove
PE2,Meridian
PE3,Coral Edge
PE4,Riviera
PE5,Kadaloor
PE6,Oasis
PE7,Damai
PW1,Sam Kee
PW2,Teck Lee
PW3,Punggol Point
PW4,Samudera
PW5,Nibong
PW6,Sumang
PW7,Soo Teck
